name,symbol,category
Argha Karya Prima Industry Tbk,AKPI.JK,Unknown
AKR Corporindo Tbk.,AKRA.JK,Unknown
Mineral Sumberdaya Mandiri Tbk,AKSI.JK,Unknown
Alkindo Naratama Tbk.,ALDO.JK,Unknown
Alakasa Industrindo Tbk,ALKA.JK,Unknown
Alumindo Light Metal Industry,ALMI.JK,Unknown
Tri Banyan Tirta Tbk.,ALTO.JK,Unknown
Asuransi Multi Artha Guna Tbk.,AMAG.JK,Unknown
Asahimas Flat Glass Tbk.,AMFG.JK,Unknown
Ateliers Mecaniques D Indonesia,AMIN.JK,Unknown
Sumber Alfaria Trijaya Tbk.,AMRT.JK,Unknown
Austindo Nusantara Jaya Tbk.,ANJT.JK,Unknown
Aneka Tambang Tbk.,ANTM.JK,Unknown
Apexindo Pratama Duta Tbk.,APEX.JK,Unknown
Pacific Strategic Financial Tb,APIC.JK,Unknown
Arita Prima Indonesia Tbk.,APII.JK,Unknown
Asiaplast Industries Tbk.,APLI.JK,Unknown
Agung Podomoro Land Tbk.,APLN.JK,Unknown
Argo Pantes Tbk,ARGO.JK,Unknown
Atlas Resources Tbk.,ARII.JK,Unknown
Arwana Citramulia Tbk.,ARNA.JK,Unknown
Arthavest Tbk,ARTA.JK,Unknown
Ratu Prabu Energi Tbk,ARTI.JK,Unknown
Bank Jago Tbk.,ARTO.JK,Unknown
Asuransi Bintang Tbk.,ASBI.JK,Unknown
Asuransi Dayin Mitra Tbk.,ASDM.JK,Unknown
Astra Graphia Tbk.,ASGR.JK,Unknown
Astra International Tbk.,ASII.JK,Unknown
Asuransi Jasa Tania Tbk.,ASJT.JK,Unknown
Asuransi Maximus Graha Persada,ASMI.JK,Unknown
Saranacentral Bajatama Tbk.,BAJA.JK,Unknown
Bali Towerindo Sentra Tbk.,BALI.JK,Unknown
Bekasi Asri Pemula Tbk.,BAPA.JK,Unknown
Sepatu Bata Tbk.,BATA.JK,Unknown
Bayu Buana Tbk,BAYU.JK,Unknown
Bank Central Asia Tbk.,BBCA.JK,Unknown
Allo Bank Indonesia Tbk.,BBHI.JK,Unknown
Bank KB Bukopin Tbk.,BBKP.JK,Unknown
Buana Finance Tbk.,BBLD.JK,Unknown
Bank Mestika Dharma Tbk.,BBMD.JK,Unknown
Bank Negara Indonesia (Persero,BBNI.JK,Unknown
Bank Rakyat Indonesia (Persero,BBRI.JK,Unknown
Pelayaran Nasional Bina Buana,BBRM.JK,Unknown
Bank Tabungan Negara (Persero),BBTN.JK,Unknown
Bank Neo Commerce Tbk.,BBYB.JK,Unknown
MNC Kapital Indonesia Tbk.,BCAP.JK,Unknown
Bank JTrust Indonesia Tbk.,BCIC.JK,Unknown
Bumi Citra Permai Tbk.,BCIP.JK,Unknown
Bank Danamon Indonesia Tbk.,BDMN.JK,Unknown
Bank Pembangunan Daerah Banten,BEKS.JK,Unknown
Bekasi Fajar Industrial Estate,BEST.JK,Unknown
BFI Finance Indonesia Tbk.,BFIN.JK,Unknown
Bank Ganesha Tbk.,BGTG.JK,Unknown
MNC Asia Holding Tbk.,BHIT.JK,Unknown
Binakarya Jaya Abadi Tbk.,BIKA.JK,Unknown
Primarindo Asia Infrastructure,BIMA.JK,Unknown
Bank Ina Perdana Tbk.,BINA.JK,Unknown
Astrindo Nusantara Infrastrukt,BIPI.JK,Unknown
Bhuwanatala Indah Permai Tbk.,BIPP.JK,Unknown
Blue Bird Tbk.,BIRD.JK,Unknown
BISI International Tbk.,BISI.JK,Unknown
Bank Pembangunan Daerah Jawa B,BJBR.JK,Unknown
Bank Pembangunan Daerah Jawa T,BJTM.JK,Unknown
Bukit Darmo Property Tbk,BKDP.JK,Unknown
Sentul City Tbk.,BKSL.JK,Unknown
Bank QNB Indonesia Tbk.,BKSW.JK,Unknown
Berlian Laju Tanker Tbk,BLTA.JK,Unknown
Graha Layar Prima Tbk.,BLTZ.JK,Unknown
Bank Maspion Indonesia Tbk.,BMAS.JK,Unknown
Bank Mandiri (Persero) Tbk.,BMRI.JK,Unknown
Bintang Mitra Semestaraya Tbk,BMSR.JK,Unknown
Global Mediacom Tbk.,BMTR.JK,Unknown
Bank Bumi Arta Tbk.,BNBA.JK,Unknown
Bakrie & Brothers Tbk,BNBR.JK,Unknown
Bank CIMB Niaga Tbk.,BNGA.JK,Unknown
Bank Maybank Indonesia Tbk.,BNII.JK,Unknown
Bank Permata Tbk.,BNLI.JK,Unknown
Garuda Metalindo Tbk.,BOLT.JK,Unknown
Woori Finance Indonesia Tbk.,BPFI.JK,Unknown
Batavia Prosperindo Internasio,BPII.JK,Unknown
Indo Kordsa Tbk.,BRAM.JK,Unknown
Astra Agro Lestari Tbk.,AALI.JK,Unknown
Mahaka Media Tbk.,ABBA.JK,Unknown
Asuransi Bina Dana Arta Tbk.,ABDA.JK,Unknown
ABM Investama Tbk.,ABMM.JK,Unknown
Ace Hardware Indonesia Tbk.,ACES.JK,Unknown
Acset Indonusa Tbk.,ACST.JK,Unknown
Akasha Wira International Tbk.,ADES.JK,Unknown
Adhi Karya (Persero) Tbk.,ADHI.JK,Unknown
Adira Dinamika Multi Finance T,ADMF.JK,Unknown
Polychem Indonesia Tbk,ADMG.JK,Unknown
Adaro Energy Indonesia Tbk.,ADRO.JK,Unknown
Aneka Gas Industri Tbk.,AGII.JK,Unknown
Bank Raya Indonesia Tbk.,AGRO.JK,Unknown
Bank IBK Indonesia Tbk.,AGRS.JK,Unknown
Asuransi Harta Aman Pratama Tb,AHAP.JK,Unknown
Bumi Resources Minerals Tbk.,BRMS.JK,Unknown
Berlina Tbk.,BRNA.JK,Unknown
Barito Pacific Tbk.,BRPT.JK,Unknown
Bumi Serpong Damai Tbk.,BSDE.JK,Unknown
Bank Sinarmas Tbk.,BSIM.JK,Unknown
Bukaka Teknik Utama Tbk.,BUKK.JK,Unknown
Buana Lintas Lautan Tbk.,BULL.JK,Unknown
Bumi Resources Tbk.,BUMI.JK,Unknown
Bukit Uluwatu Villa Tbk.,BUVA.JK,Unknown
Bank Victoria International Tb,BVIC.JK,Unknown
Eagle High Plantations Tbk.,BWPT.JK,Unknown
Bayan Resources Tbk.,BYAN.JK,Unknown
Capitol Nusantara Indonesia Tb,CANI.JK,Unknown
Cardig Aero Services Tbk.,CASS.JK,Unknown
Wilmar Cahaya Indonesia Tbk.,CEKA.JK,Unknown
Centratama Telekomunikasi Indo,CENT.JK,Unknown
Clipan Finance Indonesia Tbk.,CFIN.JK,Unknown
Chitose Internasional Tbk.,CINT.JK,Unknown
Cita Mineral Investindo Tbk.,CITA.JK,Unknown
Colorpak Indonesia Tbk.,CLPI.JK,Unknown
Citra Marga Nusaphala Persada,CMNP.JK,Unknown
AirAsia Indonesia Tbk.,CMPP.JK,Unknown
Exploitasi Energi Indonesia Tb,CNKO.JK,Unknown
Century Textile Industry Tbk.,CNTX.JK,Unknown
Cowell Development Tbk.,COWL.JK,Unknown
Charoen Pokphand Indonesia Tbk,CPIN.JK,Unknown
Central Proteina Prima Tbk.,CPRO.JK,Unknown
Catur Sentosa Adiprana Tbk.,CSAP.JK,Unknown
Citra Tubindo Tbk.,CTBN.JK,Unknown
Ciputra Development Tbk.,CTRA.JK,Unknown
Citatah Tbk.,CTTH.JK,Unknown
Duta Anggada Realty Tbk.,DART.JK,Unknown
Danasupra Erapacific Tbk.,DEFI.JK,Unknown
Darma Henwa Tbk,DEWA.JK,Unknown
Nusa Konstruksi Enjiniring Tbk,DGIK.JK,Unknown
Intiland Development Tbk.,DILD.JK,Unknown
Central Omega Resources Tbk.,DKFT.JK,Unknown
Delta Djakarta Tbk.,DLTA.JK,Unknown
Puradelta Lestari Tbk.,DMAS.JK,Unknown
Bank Oke Indonesia Tbk.,DNAR.JK,Unknown
Indoritel Makmur Internasional,DNET.JK,Unknown
Delta Dunia Makmur Tbk.,DOID.JK,Unknown
Duta Pertiwi Nusantara Tbk.,DPNS.JK,Unknown
Dharma Samudera Fishing Indust,DSFI.JK,Unknown
Dharma Satya Nusantara Tbk.,DSNG.JK,Unknown
Dian Swastatika Sentosa Tbk,DSSA.JK,Unknown
Duta Pertiwi Tbk,DUTI.JK,Unknown
Darya-Varia Laboratoria Tbk.,DVLA.JK,Unknown
Dyandra Media International Tb,DYAN.JK,Unknown
Electronic City Indonesia Tbk.,ECII.JK,Unknown
Ekadharma International Tbk.,EKAD.JK,Unknown
Elnusa Tbk.,ELSA.JK,Unknown
Bakrieland Development Tbk.,ELTY.JK,Unknown
Megapolitan Developments Tbk.,EMDE.JK,Unknown
Elang Mahkota Teknologi Tbk.,EMTK.JK,Unknown
Energi Mega Persada Tbk.,ENRG.JK,Unknown
Enseval Putera Megatrading Tbk,EPMT.JK,Unknown
Erajaya Swasembada Tbk.,ERAA.JK,Unknown
Eratex Djaja Tbk.,ERTX.JK,Unknown
Surya Esa Perkasa Tbk.,ESSA.JK,Unknown
Ever Shine Tex Tbk.,ESTI.JK,Unknown
Eterindo Wahanatama Tbk,ETWA.JK,Unknown
XL Axiata Tbk.,EXCL.JK,Unknown
Fast Food Indonesia Tbk.,FAST.JK,Unknown
Fajar Surya Wisesa Tbk.,FASW.JK,Unknown
FKS Multi Agro Tbk.,FISH.JK,Unknown
Fortune Mate Indonesia Tbk,FMII.JK,Unknown
Fortune Indonesia Tbk,FORU.JK,Unknown
Lotte Chemical Titan Tbk.,FPNI.JK,Unknown
Smartfren Telecom Tbk.,FREN.JK,Unknown
Aksara Global Development Tbk.,GAMA.JK,Unknown
Gunawan Dianjaya Steel Tbk.,GDST.JK,Unknown
Goodyear Indonesia Tbk.,GDYR.JK,Unknown
Gema Grahasarana Tbk.,GEMA.JK,Unknown
Golden Energy Mines Tbk.,GEMS.JK,Unknown
Gudang Garam Tbk.,GGRM.JK,Unknown
Garuda Indonesia (Persero) Tbk,GIAA.JK,Unknown
Gajah Tunggal Tbk.,GJTL.JK,Unknown
Globe Kita Terang Tbk.,GLOB.JK,Unknown
Gowa Makassar Tourism Developm,GMTD.JK,Unknown
Visi Telekomunikasi Infrastruk,GOLD.JK,Unknown
Golden Plantation Tbk.,GOLL.JK,Unknown
Perdana Gapuraprima Tbk.,GPRA.JK,Unknown
Equity Development Investment,GSMF.JK,Unknown
Garda Tujuh Buana Tbk,GTBO.JK,Unknown
Greenwood Sejahtera Tbk.,GWSA.JK,Unknown
Gozco Plantations Tbk.,GZCO.JK,Unknown
Himalaya Energi Perkasa Tbk.,HADE.JK,Unknown
Radana Bhaskara Finance Tbk.,HDFA.JK,Unknown
Panasia Indo Resources Tbk.,HDTX.JK,Unknown
Hero Supermarket Tbk.,HERO.JK,Unknown
Hexindo Adiperkasa Tbk.,HEXA.JK,Unknown
Humpuss Intermoda Transportasi,HITS.JK,Unknown
H.M. Sampoerna Tbk.,HMSP.JK,Unknown
Hotel Mandarine Regency Tbk.,HOME.JK,Unknown
Saraswati Griya Lestari Tbk.,HOTL.JK,Unknown
Harum Energy Tbk.,HRUM.JK,Unknown
MNC Energy Investments Tbk.,IATA.JK,Unknown
Intan Baru Prana Tbk.,IBFN.JK,Unknown
Inti Bangun Sejahtera Tbk.,IBST.JK,Unknown
Indofood CBP Sukses Makmur Tbk,ICBP.JK,Unknown
Island Concepts Indonesia Tbk.,ICON.JK,Unknown
Champion Pacific Indonesia Tbk,IGAR.JK,Unknown
Inti Agri Resources Tbk,IIKP.JK,Unknown
Intikeramik Alamasri Industri,IKAI.JK,Unknown
Sumi Indo Kabel Tbk.,IKBI.JK,Unknown
Indomobil Sukses Internasional,IMAS.JK,Unknown
